符合條件商品
資料日期：2025年 11月 25日
策略,	0100_NVIDIA概念股
"序號","代碼","商品","成交","漲幅%","總量","5均量","金額(億)","5日均金額(億)","型態","5日型態","強度","5日強度","1日%","5日%","10日%","20日%","60日%","股本(億)","外資買賣超(張)","1日外本比","3日外資買賣超(張)","3日外本比","5日外資買賣超(張)","5日外本比","10日外資買賣超(張)","10日外本比","20日外資買賣超(張)","20日外本比","投信買賣超(張)","1日投本比","3日投信買賣超(張)","3日投本比","5日投信買賣超(張)","5日投本比","10日投信買賣超(張)","10日投本比","20日投信買賣超(張)","20日投本比","主力買賣超(張)","1日主本比","3日主力買賣超(張)","3日主本比","5日主力買賣超(張)","5日主本比","10日主力買賣超(張)","10日主本比","20日主力買賣超(張)","20日主本比","散戶買賣超(張)","1日散本比","3日散戶買賣超(張)","3日散本比","5日散戶買賣超(張)","5日散本比","10日散戶買賣超(張)","10日散本比","20日散戶買賣超(張)","20日散本比","自營買賣超(張)","自營商避險買賣超(張)","1日避本比","3日自營商避險買賣超(張)","3日避本比","5日自營商避險買賣超(張)","5日避本比","10日自營商避險買賣超(張)","10日避本比","20日自營商避險買賣超(張)","20日避本比","融資增減(張)","1日融本比","3日融資增減(張)","3日融本比","5日融資增減(張)","5日融本比","10日融資增減(張)","10日融本比","融資買進張數","融資賣出張數","融資餘額張數","融券增減(張)","融券餘額(張)","借券餘額(張)","前1日借券餘額(張)","借券增減(張)","最高價","最低價","開盤價","振幅","5均振幅","週轉率","5均週轉率","當沖率","5均當沖率","融資率","券資比","維持率","1-5日型態","1-5日強度","1-5日金額","1/5日均量倍數","10日借券增減(張)",10日融券增減(張)
1	,"6117.TW","迎廣","81.8","9.95","2290","694.2","1.87","0.21","2.46","-5.47","7.47","-0.86","9.95","11.14","0","0.62","-14.61","9.25","-15","-0","150.85","-0","144","0.01","-501","-0.04","-501","-0.04","0","0","0","0","0","0","0","0","0","0","68","0.01","54","0","175","0.02","-357","-0.03","-357","-0.03","-167","-0.01","-167","-0.01","-221","-0.02","233","0.02","233","0.02","81.8","0","0","-1","-0","-1","-0","1","0","1","0","282","0.02","265","0.02","213","0.02","142","0.01","377","93","4099","19","330","2500","2550","-50","81.8","81.8","81.8","0","2.35","2.49","0.76","40.74","28.93","17.72","8.05","150.85","7.93","8.33","1.67","3.3","-37",17
2	,"5371.TW","中光電","91","6.93","23366","11404.2","21.26","8.47","-3.52","-10.13","5.23","-2.39","6.93","7.57","-0.76","-2.57","-26.32","39.1","757","0.02","144.5","-0.04","1034","0.02","9088","0.21","9088","0.21","120","0","120","0","104","0","-1255","-0.03","-1255","-0.03","2193","0.05","-532","-0.01","568","0.01","-873","-0.02","-873","-0.02","-2424","-0.06","-685","-0.02","-1161","-0.03","4223","0.1","4223","0.1","86.5","198","0","228","0.01","-96","-0","-345","-0.01","-345","-0.01","902","0.02","649","0.02","-197","-0","-7175","-0.17","2290","1385","35074","260","844","27409","28651","-1242","93.4","85.6","86.5","9.11","4.53","5.98","2.92","62.87","52.77","35.88","2.41","144.5","6.61","7.63","12.8","2.05","-4197",-363
3	,"3037.TW","欣興","176","7.32","45898","34500.8","80.78","49.63","8.09","2.59","5.16","-0.1","7.32","3.53","5.71","8.31","15.79","157.56","18582","0.21","175.6","0.1","4342","0.05","21431","0.24","21431","0.24","155","0","634","0.01","888","0.01","2956","0.03","2956","0.03","18640","0.21","5338","0.06","2489","0.03","20791","0.23","20791","0.23","-3560","-0.04","1584","0.02","2303","0.03","2339","0.03","2339","0.03","168","765","0.01","447","0","1625","0.02","1008","0.01","1008","0.01","1412","0.02","2440","0.03","2501","0.03","2272","0.03","3715","2300","28319","682","1042","36915","38677","-1762","178","166.5","168","6.91","4.86","2.91","2.19","32.58","33.66","7.41","3.68","175.6","5.49","5.26","31.15","1.33","-2377",1042
4	,"5474.TW","聰泰","164.5","4.11","680","277.6","1.12","0.29","-1.01","-5.67","3.99","-0.82","4.11","7.17","1.23","-3.8","-12.03","3.98","10","0","152.37","0.01","52","0.02","-180","-0.07","-180","-0.07","0","0","0","0","0","0","0","0","0","0","-61","-0.03","-82","-0.03","-79","-0.03","-288","-0.12","-288","-0.12","46","0.02","84","0.03","58","0.02","319","0.13","319","0.13","165","9","0","9","0","8","0","-20","-0.01","-20","-0.01","1","0","-12","-0","-7","-0","-37","-0.02","45","44","1330","14","16","976","975","1","169","164","165","3.05","2.42","1.71","0.7","40.44","32.94","13.38","1.2","152.37","4.66","4.81","0.83","2.45","73",13
5	,"2377.TW","微星","107.5","4.88","15811","30222.2","17","44.32","-1.28","-5.98","3.45","-1.29","4.88","4.37","-1.38","-0.46","-21.53","84.49","2268","0.03","156.07","0.17","24674","0.31","29993","0.38","29993","0.38","-2952","-0.04","-17379","-0.22","-31235","-0.4","-44501","-0.57","-44501","-0.57","-582","-0.01","-4286","-0.05","-7436","-0.09","-15693","-0.2","-15693","-0.2","-182","-0","1336","0.02","2734","0.03","7321","0.09","7321","0.09","103","108","0","224","0","679","0.01","1504","0.02","1504","0.02","235","0","450","0.01","470","0.01","1211","0.02","684","446","11472","21","195","69111","75426","-6315","107.5","102.5","103","4.88","3.48","1.87","3.58","42.84","35.43","5.43","1.7","156.07","4.7","4.74","-27.33","0.52","3923",35
6	,"6166.TW","凌華","58.2","1.57","880","1079.8","0.51","0.79","-0.42","-3.65","1.86","-0.57","1.57","4.3","-0.85","-3.16","-9.49","21.77","-98","-0","151.72","0.01","174","0","-176","-0","-176","-0","0","0","0","0","0","0","0","0","0","0","27","0","31","0","-33","-0","-409","-0.01","-409","-0.01","28","0","55","0","33","0","265","0.01","265","0.01","57.5","0","0","-4","-0","13","0","18","0","18","0","-10","-0","100","0","169","0","233","0.01","8","18","3818","-145","324","4604","3723","881","58.6","56.9","57.5","2.99","3.69","0.4","0.5","50.8","28.89","7.52","8.49","151.72","3.22","2.43","-0.28","0.81","1332",270
7	,"3030.TW","德律","148","1.72","1420","2679.8","2.1","4.03","-5.09","-8.05","1.02","-2.06","1.72","2.42","-1.99","-4.82","-29.36","23.62","-191","-0.01","150.65","-0.02","2587","0.16","2100","0.13","2100","0.13","0","0","0","0","-3737","-0.23","-4811","-0.3","-4811","-0.3","-61","-0","-79","-0","-551","-0.03","-1734","-0.11","-1734","-0.11","1","0","80","0.01","410","0.03","1278","0.08","1278","0.08","147.5","0","0","24","0","37","0","16","0","16","0","140","0.01","256","0.02","64","0","137","0.01","225","84","4478","16","153","13779","14248","-469","151","146.5","147.5","3.07","2.88","0.6","1.13","37.04","38.38","7.58","3.42","150.65","2.96","3.09","-1.93","0.53","1823",36
8	,"9921.TW","巨大","94.6","0","574","1351","0.54","1.49","-2.55","-4.15","0.91","-1.06","0","3.96","0.42","-9.47","-9.9","39.21","133","0","157.16","0.03","1844","0.04","3285","0.08","3285","0.08","0","0","0","0","-7","-0","-7","-0","-7","-0","-41","-0","173","0","26","0","-1532","-0.04","-1532","-0.04","106","0","-13","-0","206","0","1851","0.04","1851","0.04","94.7","3","0","13","0","16","0","25","0","25","0","-3","-0","-89","-0","-115","-0","16","0","5","8","1488","-1","200","8571","9100","-529","95.8","94.3","94.7","1.59","2.6","0.15","0.34","29.79","26.1","1.52","13.44","157.16","1.59","1.97","-0.95","0.42","-346",62
9	,"2324.TW","仁寶","29.55","2.96","22796","36690","6.74","11.74","-3.24","-5.36","0.32","-2.53","2.96","3.14","-3.59","-14.35","5.54","440.71","5933","0","148.76","-0.01","-39185","-0.03","-78736","-0.05","-78736","-0.05","-1329","-0","9247","0.01","20478","0.01","13537","0.01","13537","0.01","2459","0","-6577","-0","-12142","-0.01","-52640","-0.04","-52640","-0.04","-1991","-0","7260","0","12364","0.01","46366","0.03","46366","0.03","28.95","428","0","917","0","849","0","1620","0","1620","0","-654","-0","-986","-0","-297","-0","-25","-0","177","828","34508","48","728","375986","363397","12589","29.55","28.95","28.95","2.07","2.5","0.52","0.83","19.27","19.87","3.13","2.11","148.76","2.12","2.85","-5","0.62","138519",167
