符合條件商品
資料日期：2025年 11月 25日
策略,	003_CB+計量統計表
"序號","代碼","商品","成交","漲幅%","總量","5均量","金額(億)","5日均金額(億)","型態","5日型態","強度","5日強度","1日%","5日%","10日%","20日%","60日%","股本(億)","外資買賣超(張)","1日外本比","3日外資買賣超(張)","3日外本比","5日外資買賣超(張)","5日外本比","10日外資買賣超(張)","10日外本比","20日外資買賣超(張)","20日外本比","投信買賣超(張)","1日投本比","3日投信買賣超(張)","3日投本比","5日投信買賣超(張)","5日投本比","10日投信買賣超(張)","10日投本比","20日投信買賣超(張)","20日投本比","主力買賣超(張)","1日主本比","3日主力買賣超(張)","3日主本比","5日主力買賣超(張)","5日主本比","10日主力買賣超(張)","10日主本比","20日主力買賣超(張)","20日主本比","散戶買賣超(張)","1日散本比","3日散戶買賣超(張)","3日散本比","5日散戶買賣超(張)","5日散本比","10日散戶買賣超(張)","10日散本比","20日散戶買賣超(張)","20日散本比","自營買賣超(張)","自營商避險買賣超(張)","1日避本比","3日自營商避險買賣超(張)","3日避本比","5日自營商避險買賣超(張)","5日避本比","10日自營商避險買賣超(張)","10日避本比","20日自營商避險買賣超(張)","20日避本比","融資增減(張)","1日融本比","3日融資增減(張)","3日融本比","5日融資增減(張)","5日融本比","10日融資增減(張)","10日融本比","融資買進張數","融資賣出張數","融資餘額張數","融券增減(張)","融券餘額(張)","借券餘額(張)","前1日借券餘額(張)","借券增減(張)","最高價","最低價","開盤價","振幅","5均振幅","週轉率","5均週轉率","當沖率","5均當沖率","融資率","券資比","維持率","1-5日型態","1-5日強度","1-5日金額","1/5日均量倍數","10日借券增減(張)",10日融券增減(張)
1	,"4416.TW","三圓","32.65","-8.16","97","53.6","0.03","0.01","-30.76","-25.78","-19.09","-15.25","-8.16","-23.18","-34.17","-42.62","-45.58","7.36","4","0","108.62","0","3","0","-1","-0","-1","-0","0","0","0","0","0","0","0","0","0","0","-16","-0","-16","-0","-18","-0","-18","-0","-18","-0","0","0","0","0","0","0","0","0","0","0","35.35","0","0","0","0","0","0","-4","-0","-4","-0","16","0","36","0","58","0","112","0","16","0","185","20","20","19","19","0","35.35","32.65","35.35","8.27","6.69","0.13","0.07","24.74","25.05","1.01","10.81","108.62","-4.98","-3.84","0.02","1.81","4",20
2	,"8422.TW","可寧衛*","23","0.88","12459","18333.4","2.87","4.13","-75.29","-80.93","-16.06","-33.67","0.88","3.37","-90.48","-88.92","-88.05","11.37","2414","0.05","27.76","-0.04","-18015","-0.36","-36937","-0.75","-36937","-0.75","0","0","-17","-0","189","0","294","0.01","294","0.01","-433","-0.01","-7920","-0.16","-23689","-0.48","-49574","-1","-49574","-1","1234","0.02","7709","0.16","22494","0.46","49350","1","49350","1","23","-227","-0","-294","-0.01","-729","-0.01","-1147","-0.02","-1147","-0.02","-353","-0.01","-687","-0.01","-394","-0.01","8152","0.16","170","523","9671","295","6028","10752","10497","255","23.1","22.5","23","2.67","4.69","1.1","1.61","25.84","30.19","3.4","62.33","27.76","5.64","17.6","-1.26","0.68","10752",6020
3	,"6432.TW","今展科","32.1","-2.73","896","2484.4","0.29","0.91","-3.06","4.41","-8.21","-2.43","-2.73","-9.45","-7.49","-16.08","23.22","3.22","101","0.01","148.45","0.01","41","0","85","0.01","85","0.01","0","0","0","0","0","0","0","0","0","0","-22","-0","-165","-0.02","-256","-0.03","-276","-0.03","-276","-0.03","-20","-0","-67","-0.01","-190","-0.02","-342","-0.03","-342","-0.03","33","0","0","0","0","0","0","0","0","0","0","41","0","-63","-0.01","49","0","182","0.02","99","58","1682","-14","580","525","555","-30","33","31.9","33","3.45","6.28","2.78","7.71","35.49","52.55","20.87","34.48","148.45","-7.46","-5.79","-0.62","0.36","53",237
4	,"3324.TW","雙鴻","876","-1.79","5601","4386.8","49.06","33.02","-6.48","-4.84","-6.95","-6.71","-1.79","-7.69","-15.77","-15.77","24.61","9.29","-1225","-1.16","148.92","-0.64","-356","-0.34","-286","-0.27","-286","-0.27","-490","-0.46","-641","-0.6","-1347","-1.27","-1697","-1.6","-1697","-1.6","-1680","-1.58","-2157","-2.03","-3270","-3.08","-4677","-4.41","-4677","-4.41","135","0.13","269","0.25","369","0.35","566","0.53","566","0.53","912","-9","-0.01","-10","-0.01","-19","-0.02","-283","-0.27","-283","-0.27","386","0.36","328","0.31","477","0.45","526","0.5","473","86","3912","-40","409","4896","4620","276","914","864","912","5.79","4.92","6.04","4.73","51.96","49.19","16.85","10.46","148.92","-1.64","-0.24","16.05","1.28","713",-140
5	,"6806.TW","森崴能源","38.45","1.05","1860","2976.8","0.72","1.18","-20.34","-22.42","-6.55","-10.39","1.05","-7.13","-24.16","-34.39","-32.9","27.46","146","0","101.43","-0.01","-319","-0","525","0.01","525","0.01","0","0","-3","-0","-3","-0","-3","-0","-3","-0","12","0","-355","-0","-571","-0.01","-803","-0.01","-803","-0.01","110","0","357","0","676","0.01","2151","0.03","2151","0.03","38","0","0","0","0","50","0","109","0","109","0","-92","-0","-125","-0","-448","-0.01","-873","-0.01","37","61","5486","10","918","13807","13869","-62","38.5","37.15","38","3.63","6.28","0.68","1.08","45.7","43.29","7.99","16.73","101.43","2.08","3.84","-0.46","0.62","-1327",-78
6	,"3032.TW","偉訓","82","-2.03","1283","1248","1.05","0.95","-10.87","-9.56","-6.21","-5.37","-2.03","-6.71","-12.58","-8.69","-27.75","11.33","263","0.02","139.28","0","401","0.03","-518","-0.04","-518","-0.04","0","0","0","0","0","0","0","0","0","0","-350","-0.03","-738","-0.05","-811","-0.06","-1548","-0.11","-1548","-0.11","422","0.03","982","0.07","1161","0.08","2152","0.16","2152","0.16","84.2","-9","-0","-37","-0","-76","-0.01","-492","-0.04","-492","-0.04","-297","-0.02","-261","-0.02","-584","-0.04","-715","-0.05","128","421","7259","-7","72","4221","4425","-204","85.3","82","84.2","4.02","4.24","1.24","1.21","26.19","34.21","28.11","0.99","139.28","-1.31","-0.83","0.1","1.03","-1042",-97
7	,"6873.TW","泓德能源","93.8","0.43","429","859.8","0.4","0.87","-15.86","-18.04","-5.81","-8.04","0.43","-4.67","-20.17","-26.14","-42.63","14.26","-14","-0","106.69","0.02","559","0.04","1527","0.1","1527","0.1","0","0","0","0","-2","-0","-233","-0.02","-233","-0.02","-8","-0","30","0","47","0","-19","-0","-19","-0","-11","-0","144","0.01","192","0.01","945","0.06","945","0.06","93","1","0","-8","-0","-11","-0","-33","-0","-33","-0","11","0","20","0","-31","-0","-172","-0.01","21","8","3932","11","123","6483","6663","-180","94.4","92.6","93","1.94","3.72","0.3","0.61","29.6","31.59","11.37","3.13","106.69","2.19","2.24","-0.47","0.5","-451",75
8	,"2337.TW","旺宏","34.5","1.92","99139","108513.6","34.2","38.79","5.58","8.47","-5.45","-3.03","1.92","-8.37","-14.18","-5.35","69.12","188.47","-4493","-0.01","153.73","-0.01","-17664","-0.03","-47511","-0.09","-47511","-0.09","300","0","650","0","1006","0","12101","0.02","12101","0.02","-2984","-0.01","-13083","-0.02","-19458","-0.04","-84229","-0.15","-84229","-0.15","3081","0.01","24063","0.04","38019","0.07","117909","0.22","117909","0.22","35.6","403","0","-469","-0","2424","0","-5141","-0.01","-5141","-0.01","1786","0","-2859","-0.01","-1601","-0","-14830","-0.03","4947","3160","69604","183","8796","118176","124825","-6649","36.2","34.4","35.6","5.23","6","5.34","5.85","61.54","59.44","14.77","12.64","153.73","-2.89","-2.42","-4.59","0.91","-6761",-4483
9	,"3006.TW","晶豪科","81.6","1.12","5215","7973.2","4.26","6.44","-3.03","-2.16","-5.18","-6.36","1.12","-7.48","-13.83","-9.13","42.41","28.62","-70","-0","148.57","0.01","637","0.02","1765","0.05","1765","0.05","0","0","70","0","120","0","197","0.01","197","0.01","-273","-0.01","-679","-0.02","-753","-0.02","-3785","-0.11","-3785","-0.11","68","0","972","0.03","1937","0.06","9934","0.28","9934","0.28","83.6","44","0","-47","-0","-149","-0","-376","-0.01","-376","-0.01","38","0","-705","-0.02","-1170","-0.03","-1735","-0.05","249","184","10521","-102","1276","28124","26899","1225","84","81.5","83.6","3.07","4.42","1.82","2.79","64.68","58.74","14.71","12.13","148.57","-0.87","1.19","-2.18","0.65","5299",-325
