符合條件商品
資料日期：2025年 11月 25日
策略,	004_CB+外資買超大於1億
"序號","代碼","商品","成交","漲幅%","總量","5均量","金額(億)","5日均金額(億)","型態","5日型態","強度","5日強度","1日%","5日%","10日%","20日%","60日%","股本(億)","外資買賣超(張)","1日外本比","3日外資買賣超(張)","3日外本比","5日外資買賣超(張)","5日外本比","10日外資買賣超(張)","10日外本比","20日外資買賣超(張)","20日外本比","投信買賣超(張)","1日投本比","3日投信買賣超(張)","3日投本比","5日投信買賣超(張)","5日投本比","10日投信買賣超(張)","10日投本比","20日投信買賣超(張)","20日投本比","主力買賣超(張)","1日主本比","3日主力買賣超(張)","3日主本比","5日主力買賣超(張)","5日主本比","10日主力買賣超(張)","10日主本比","20日主力買賣超(張)","20日主本比","散戶買賣超(張)","1日散本比","3日散戶買賣超(張)","3日散本比","5日散戶買賣超(張)","5日散本比","10日散戶買賣超(張)","10日散本比","20日散戶買賣超(張)","20日散本比","自營買賣超(張)","自營商避險買賣超(張)","1日避本比","3日自營商避險買賣超(張)","3日避本比","5日自營商避險買賣超(張)","5日避本比","10日自營商避險買賣超(張)","10日避本比","20日自營商避險買賣超(張)","20日避本比","融資增減(張)","1日融本比","3日融資增減(張)","3日融本比","5日融資增減(張)","5日融本比","10日融資增減(張)","10日融本比","融資買進張數","融資賣出張數","融資餘額張數","融券增減(張)","融券餘額(張)","借券餘額(張)","前1日借券餘額(張)","借券增減(張)","最高價","最低價","開盤價","振幅","5均振幅","週轉率","5均週轉率","當沖率","5均當沖率","融資率","券資比","維持率","1-5日型態","1-5日強度","1-5日金額","1/5日均量倍數","10日借券增減(張)",10日融券增減(張)
1	,"6223.TW","旺矽","2060","6.46","2693","1889","55.48","33.18","12.28","4.75","8.96","2.01","6.46","12.88","14.76","2.49","56.65","9.59","401","0.86","181.87","1.46","948","2.04","1150","2.47","1150","2.47","419","0.9","666","1.43","463","0.99","185","0.4","185","0.4","477","1.02","607","1.3","665","1.43","1003","2.15","1003","2.15","-36","-0.08","-41","-0.09","-32","-0.07","13","0.03","13","0.03","2000","1","0","20","0.04","30","0.06","49","0.11","49","0.11","25","0.05","-180","-0.39","-4","-0.01","-10","-0.02","200","174","1436","24","270","2779","2711","68","2090","2000","2000","4.5","5.33","2.84","1.99","43.33","49.69","5.99","18.8","181.87","7.53","6.94","22.3","1.43","255",-248
2	,"6274.TW","台燿","419","5.67","27602","18104.6","115.65","60.76","11.92","8.78","6.67","2.79","5.67","8.27","10.99","21.98","26.2","28.87","1604","0.23","175.52","-0.44","-3407","-0.49","-6594","-0.96","-6594","-0.96","772","0.11","2312","0.34","3456","0.5","8377","1.22","8377","1.22","3961","0.57","701","0.1","2413","0.35","3841","0.56","3841","0.56","-121","-0.02","1746","0.25","1783","0.26","4119","0.6","4119","0.6","412","179","0.03","136","0.02","-90","-0.01","-92","-0.01","-92","-0.01","943","0.14","1063","0.15","307","0.04","-2105","-0.31","3025","2077","12855","194","2261","13562","14503","-941","424.5","405","412","4.81","4.2","9.56","6.27","59.8","57.19","17.81","17.59","175.52","3.13","3.88","54.89","1.52","1813",89
3	,"3037.TW","欣興","176","7.32","45898","34500.8","80.78","49.63","8.09","2.59","5.16","-0.1","7.32","3.53","5.71","8.31","15.79","157.56","18582","0.21","175.6","0.1","4342","0.05","21431","0.24","21431","0.24","155","0","634","0.01","888","0.01","2956","0.03","2956","0.03","18640","0.21","5338","0.06","2489","0.03","20791","0.23","20791","0.23","-3560","-0.04","1584","0.02","2303","0.03","2339","0.03","2339","0.03","168","765","0.01","447","0","1625","0.02","1008","0.01","1008","0.01","1412","0.02","2440","0.03","2501","0.03","2272","0.03","3715","2300","28319","682","1042","36915","38677","-1762","178","166.5","168","6.91","4.86","2.91","2.19","32.58","33.66","7.41","3.68","175.6","5.49","5.26","31.15","1.33","-2377",1042
4	,"3491.TW","昇達科","476","0.74","2947","2043.2","14.03","9.07","6.38","3.84","4.85","2.08","0.74","6.73","12.93","9.93","20.81","6.75","353","0.25","177.27","0.55","1129","0.8","3611","2.55","3611","2.55","2","0","30","0.02","-16","-0.01","131","0.09","131","0.09","192","0.14","621","0.44","977","0.69","3003","2.12","3003","2.12","51","0.04","-141","-0.1","-297","-0.21","-434","-0.31","-434","-0.31","478.5","38","0.03","105","0.07","121","0.09","112","0.08","112","0.08","-67","-0.05","-24","-0.02","-128","-0.09","-884","-0.62","202","269","3341","-3","211","5013","5146","-133","493","475.5","478.5","3.68","4.68","4.4","3.05","53.17","48.19","19.78","6.32","177.27","2.54","2.77","4.96","1.44","7",19
5	,"3680.TW","家登","349","4.18","4486","1614.4","15.66","2.75","4.05","0.95","4.07","0.78","4.18","5.76","4.8","7.38","10.09","9.6","1781","0.65","172.07","0.52","1807","0.66","1414","0.51","1414","0.51","0","0","0","0","0","0","-7","-0","-7","-0","1647","0.6","1358","0.49","1698","0.62","1692","0.61","1692","0.61","-744","-0.27","-412","-0.15","-564","-0.2","-428","-0.16","-428","-0.16","345","143","0.05","5","0","62","0.02","125","0.05","125","0.05","-170","-0.06","-82","-0.03","-118","-0.04","-43","-0.02","149","318","2842","-23","23","5165","5187","-22","362","342.5","345","5.69","4.1","4.67","1.68","37.98","33.88","11.84","0.81","172.07","3.1","3.28","12.9","2.78","-10",-288
6	,"5439.TW","高技","316","3.61","7910","6358.2","25","17.15","0.7","-1.52","3.2","0.28","3.61","7.48","3.95","2.76","4.29","9.3","1266","0.43","166.52","0.03","2151","0.73","-85","-0.03","-85","-0.03","0","0","73","0.02","203","0.07","565","0.19","565","0.19","1247","0.42","-74","-0.03","1667","0.57","271","0.09","271","0.09","-458","-0.16","458","0.16","-90","-0.03","1851","0.63","1851","0.63","311.5","75","0.03","43","0.01","88","0.03","126","0.04","126","0.04","354","0.12","-460","-0.16","-324","-0.11","-139","-0.05","1115","758","12763","90","735","7861","7815","46","325","310","311.5","4.84","4.59","8.51","6.84","49.89","49.31","54.91","5.76","166.52","2.23","2.92","7.84","1.24","1143",340
7	,"4979.TW","華星光","203","1.75","18970","11833","38.51","21.62","2.01","-1.4","2.96","0.37","1.75","5.45","6.01","-2.87","-1.93","14.08","1119","0.16","166.79","0.1","1489","0.21","2769","0.4","2769","0.4","-141","-0.02","-141","-0.02","-132","-0.02","663","0.1","663","0.1","1433","0.21","1460","0.21","1760","0.25","3274","0.47","3274","0.47","-73","-0.01","225","0.03","875","0.13","1552","0.22","1552","0.22","204","138","0.02","308","0.04","401","0.06","273","0.04","273","0.04","498","0.07","149","0.02","-54","-0.01","-166","-0.02","1645","1145","14299","87","738","14706","14706","0","208","200","204","4","4.54","13.47","8.4","65.02","59.84","40.61","5.16","166.79","3.41","2.59","16.89","1.6","325",142
8	,"6187.TW","萬潤","342.5","2.7","883","930.8","3.02","2.93","-1.23","-4.57","2.7","0.3","2.7","6.37","3.32","-4.73","-10.81","9.71","362","0.13","152.96","0.16","763","0.27","846","0.3","846","0.3","0","0","-1","-0","62","0.02","14","0","14","0","243","0.09","325","0.11","702","0.25","1192","0.42","1192","0.42","-138","-0.05","-140","-0.05","-404","-0.14","-483","-0.17","-483","-0.17","339.5","13","0","3","0","-1","-0","-31","-0.01","-31","-0.01","-34","-0.01","-44","-0.02","-162","-0.06","-364","-0.13","23","57","3752","9","66","7934","7917","17","347.5","339.5","339.5","2.36","3.31","0.91","0.96","35.45","37.39","15.45","1.76","152.96","3.35","2.4","0.09","0.95","-421",-45
9	,"3702.TW","大聯大","65","2.52","28344","58407.8","18.42","56.42","2.18","1.29","2.63","1.07","2.52","2.69","6.56","5.69","-2.26","167.91","15591","0.06","169.18","0.16","60090","0.23","65133","0.25","65133","0.25","-16087","-0.06","-43523","-0.17","-64836","-0.25","-77011","-0.3","-77011","-0.3","568","0","-2912","-0.01","-3215","-0.01","-6152","-0.02","-6152","-0.02","-719","-0","1667","0.01","1635","0.01","3075","0.01","3075","0.01","62.8","4","0","235","0","560","0","2624","0.01","2624","0.01","-215","-0","582","0","510","0","1956","0.01","112","324","3976","-53","107","97507","105817","-8310","65","62.3","62.8","4.33","3.65","1.69","3.48","28.76","24.27","0.95","2.69","169.18","0.88","1.56","-38","0.49","11123",-100
10	,"6139.TW","亞翔","441","0.34","3306","5407","14.58","25.05","4.05","4.62","1.53","2.34","0.34","6.39","8.35","0.57","22.84","23.54","261","0.05","168.95","-0.08","1482","0.28","339","0.06","339","0.06","15","0","296","0.06","2034","0.38","2016","0.38","2016","0.38","125","0.02","-817","-0.15","2049","0.38","960","0.18","960","0.18","89","0.02","1039","0.19","-178","-0.03","1048","0.2","1048","0.2","447","-12","-0","-207","-0.04","61","0.01","5","0","5","0","-95","-0.02","138","0.03","-502","-0.09","-826","-0.15","239","333","7992","13","153","6495","6839","-344","451","441","447","2.27","3.96","1.42","2.31","53.48","51.37","13.58","1.91","168.95","-0.56","-0.82","-10.47","0.61","-2715",47
