符合條件商品
資料日期：2025年 11月 25日
策略,	006_全部上市櫃計量排行
"序號","代碼","商品","成交","漲幅%","總量","5均量","金額(億)","5日均金額(億)","型態","5日型態","強度","5日強度","1日%","5日%","10日%","20日%","60日%","股本(億)","外資買賣超(張)","1日外本比","3日外資買賣超(張)","3日外本比","5日外資買賣超(張)","5日外本比","10日外資買賣超(張)","10日外本比","20日外資買賣超(張)","20日外本比","投信買賣超(張)","1日投本比","3日投信買賣超(張)","3日投本比","5日投信買賣超(張)","5日投本比","10日投信買賣超(張)","10日投本比","20日投信買賣超(張)","20日投本比","主力買賣超(張)","1日主本比","3日主力買賣超(張)","3日主本比","5日主力買賣超(張)","5日主本比","10日主力買賣超(張)","10日主本比","20日主力買賣超(張)","20日主本比","散戶買賣超(張)","1日散本比","3日散戶買賣超(張)","3日散本比","5日散戶買賣超(張)","5日散本比","10日散戶買賣超(張)","10日散本比","20日散戶買賣超(張)","20日散本比","自營買賣超(張)","自營商避險買賣超(張)","1日避本比","3日自營商避險買賣超(張)","3日避本比","5日自營商避險買賣超(張)","5日避本比","10日自營商避險買賣超(張)","10日避本比","20日自營商避險買賣超(張)","20日避本比","融資增減(張)","1日融本比","3日融資增減(張)","3日融本比","5日融資增減(張)","5日融本比","10日融資增減(張)","10日融本比","融資買進張數","融資賣出張數","融資餘額張數","融券增減(張)","融券餘額(張)","借券餘額(張)","前1日借券餘額(張)","借券增減(張)","最高價","最低價","開盤價","振幅","5均振幅","週轉率","5均週轉率","當沖率","5均當沖率","融資率","券資比","維持率","1-5日型態","1-5日強度","1-5日金額","1/5日均量倍數","10日借券增減(張)","10日融券增減(張)",成交量
1	,"3324.TW","雙鴻","876","-1.79","5601","4386.8","49.06","33.02","-6.48","-4.84","-6.95","-6.71","-1.79","-7.69","-15.77","-15.77","24.61","9.29","-1225","-1.16","148.92","-0.64","-356","-0.34","-286","-0.27","-286","-0.27","-490","-0.46","-641","-0.6","-1347","-1.27","-1697","-1.6","-1697","-1.6","-1680","-1.58","-2157","-2.03","-3270","-3.08","-4677","-4.41","-4677","-4.41","135","0.13","269","0.25","369","0.35","566","0.53","566","0.53","912","-9","-0.01","-10","-0.01","-19","-0.02","-283","-0.27","-283","-0.27","386","0.36","328","0.31","477","0.45","526","0.5","473","86","3912","-40","409","4896","4620","276","914","864","912","5.79","4.92","6.04","4.73","51.96","49.19","16.85","10.46","148.92","-1.64","-0.24","16.05","1.28","713","-140",5601
2	,"3443.TW","創意","2175","9.85","6955","5038.4","151.27","94.45","26.82","17.41","14.38","5.93","9.85","16.31","13.87","46.96","61.71","13.4","-524","-0.85","189.75","-0.23","-283","-0.46","-538","-0.87","-538","-0.87","362","0.59","438","0.71","778","1.26","1136","1.84","1136","1.84","824","1.34","1211","1.97","1574","2.55","1366","2.22","1366","2.22","-65","-0.11","-45","-0.07","-98","-0.16","-84","-0.14","-84","-0.14","2055","128","0.21","121","0.2","179","0.29","89","0.14","89","0.14","728","1.18","565","0.92","975","1.58","683","1.11","1192","464","5653","115","390","4953","4941","12","2175","2030","2055","7.14","4.91","5.19","3.76","47.53","54.3","16.87","6.9","189.75","9.41","8.45","56.82","1.38","1105","130",6955
3	,"5314.TW","世紀*","104","2.46","13494","11991.8","14.03","11.54","-4.18","-9.43","1.96","-2.75","2.46","9.24","-11.11","-16.8","28.4","1.46","-1175","-0.84","145.5","-0.9","-2765","-1.97","-1913","-1.36","-1913","-1.36","0","0","0","0","-1","-0","-11","-0.01","-11","-0.01","-924","-0.66","-849","-0.6","-2746","-1.96","-3706","-2.64","-3706","-2.64","590","0.42","834","0.59","2594","1.85","7552","5.38","7552","5.38","102","-1","-0","2","0","3","0","4","0","4","0","-4","-0","-11","-0.01","603","0.43","-1302","-0.93","812","814","20285","38","399","7635","7615","20","107","101.5","102","5.42","6.62","4.62","4.11","63.61","52.8","27.79","1.97","145.5","5.25","4.71","2.49","1.13","1226","60",13494
4	,"8299.TW","群聯","1100","4.27","10169","9575.4","111.86","104.68","7.84","8.77","-3.63","-5.05","4.27","-7.95","-16.03","7.32","127.04","21.16","-1308","-0.68","160.14","-0.09","2896","1.51","6726","3.5","6726","3.5","-163","-0.08","-713","-0.37","-2857","-1.49","-3580","-1.86","-3580","-1.86","-700","-0.36","-1260","-0.65","-1356","-0.7","-1588","-0.83","-1588","-0.83","21","0.01","43","0.02","169","0.09","392","0.2","392","0.2","1160","-1","-0","27","0.01","-403","-0.21","-1172","-0.61","-1172","-0.61","640","0.33","-232","-0.12","248","0.13","-661","-0.34","1401","756","9086","-73","426","10458","10660","-202","1160","1095","1160","5.94","6.06","4.89","4.6","53.74","42.57","17.17","4.69","160.14","-0.93","1.42","7.17","1.06","2358","58",10169
5	,"3293.TW","鈊象","769","-0.65","3735","5533.4","28.72","46.88","1.76","0.3","1.98","1.28","-0.65","2.53","4.91","5.34","-0.77","28.18","-1763","-0.48","164.12","-1.54","-10266","-2.8","-12941","-3.53","-12941","-3.53","1434","0.39","7006","1.91","11751","3.21","14630","3.99","14630","3.99","-341","-0.09","1083","0.3","1317","0.36","1781","0.49","1781","0.49","14","0","-99","-0.03","-39","-0.01","-108","-0.03","-108","-0.03","782","-49","-0.01","16","0","-38","-0.01","31","0.01","31","0.01","-26","-0.01","-59","-0.02","-116","-0.03","-202","-0.06","155","177","3634","-3","23","21353","22126","-773","788","769","782","2.47","3.48","1.33","1.96","31.33","35.13","5.16","0.63","164.12","1.46","0.7","-18.15","0.67","3720","7",3735
6	,"3017.TW","奇鋐","1315","5.62","10653","9264","140.09","111.6","1.83","-0.33","-1.2","-5.11","5.62","-4.01","-14.61","1.15","25.24","39.21","-1297","-0.43","161.79","-0.13","-2785","-0.93","-3618","-1.21","-3618","-1.21","401","0.13","-1281","-0.43","-1594","-0.53","-2775","-0.93","-2775","-0.93","-1112","-0.37","-2841","-0.95","-5526","-1.85","-8558","-2.87","-8558","-2.87","51","0.02","344","0.12","572","0.19","883","0.3","883","0.3","1300","142","0.05","260","0.09","292","0.1","25","0.01","25","0.01","875","0.29","378","0.13","1163","0.39","1055","0.35","1465","588","7415","28","311","13444","13573","-129","1340","1240","1300","8.06","5.79","2.74","2.39","46.39","45.02","7.56","4.19","161.79","2.16","3.91","28.48","1.15","761","-116",10653
7	,"8358.TW","金居","229","-2.14","43542","45812.4","99.71","124.73","0.03","1.17","-0.49","1.62","-2.14","4.57","2","1.55","7.01","25.26","-4583","-0.42","163.44","-0.45","-5831","-0.53","-5426","-0.49","-5426","-0.49","1257","0.11","6017","0.55","9825","0.89","9800","0.89","9800","0.89","-4697","-0.43","-9276","-0.84","-6604","-0.6","-5075","-0.46","-5075","-0.46","3060","0.28","6210","0.56","6436","0.58","6374","0.58","6374","0.58","241","-321","-0.03","-768","-0.07","-1161","-0.11","-509","-0.05","-509","-0.05","-1517","-0.14","-1402","-0.13","764","0.07","-1334","-0.12","3384","4901","28933","1159","7951","15177","15378","-201","243.5","229","241","6.33","7.3","17.24","18.14","61.75","52.7","45.82","27.48","163.44","-1.14","-2.11","-25.02","0.95","2494","837",43542
8	,"6510.TW","精測","1790","9.82","1949","1081.2","34.89","13.45","12.73","1.2","12.54","2.32","9.82","13.29","19.33","-2.98","56.33","3.28","-70","-0.38","179.63","0.27","295","1.61","143","0.78","143","0.78","287","1.57","454","2.48","88","0.48","388","2.12","388","2.12","308","1.68","548","2.99","453","2.47","540","2.95","540","2.95","-43","-0.23","-55","-0.3","-47","-0.26","-52","-0.28","-52","-0.28","1680","2","0.01","20","0.11","11","0.06","20","0.11","20","0.11","-27","-0.15","-75","-0.41","-21","-0.11","-77","-0.42","129","156","505","6","59","2184","2099","85","1790","1660","1680","7.83","7.48","5.95","3.3","42.23","46.27","6.16","11.68","179.63","11.53","10.22","21.43","1.8","293","19",1949
9	,"6781.TW","AES-KY","1230","-1.6","1584","2001","19.48","26.16","-3.4","1.94","-6.45","-1.49","-1.6","-13.07","-9.89","9.82","-3.91","8.54","-242","-0.35","154.26","-0.12","-425","-0.61","-981","-1.41","-981","-1.41","47","0.07","69","0.1","403","0.58","1598","2.3","1598","2.3","-261","-0.38","-542","-0.78","-903","-1.3","118","0.17","118","0.17","28","0.04","73","0.11","80","0.12","4","0.01","4","0.01","1285","-16","-0.02","-40","-0.06","-90","-0.13","-136","-0.2","-136","-0.2","30","0.04","-67","-0.1","-366","-0.53","7","0.01","137","107","1804","-2","35","1890","1930","-40","1295","1215","1285","6.58","6.22","1.85","2.34","54.04","57.64","8.45","1.94","154.26","-5.33","-4.96","-6.67","0.79","-495","-64",1584
10	,"4991.TW","環宇-KY","165","4.43","14449","3943.6","23.84","2.02","3.46","-0.62","2.86","-0.87","4.43","3.12","1.23","1.54","-5.71","11.38","-1918","-0.28","168.53","-0.35","-2749","-0.4","-3878","-0.56","-3878","-0.56","120","0.02","120","0.02","120","0.02","104","0.02","104","0.02","-826","-0.12","-1754","-0.25","-1767","-0.26","-1832","-0.27","-1832","-0.27","659","0.1","1299","0.19","1270","0.18","1224","0.18","1224","0.18","162","-172","-0.02","67","0.01","292","0.04","737","0.11","737","0.11","1430","0.21","613","0.09","818","0.12","1736","0.25","2887","1457","18437","-43","1851","4204","2756","1448","169.5","157.5","162","7.62","4.76","12.7","3.46","59.71","15.02","78.61","10.04","168.53","4.08","3.73","21.82","3.66","1177","-668",14449
11	,"3715.TW","定穎投控","119","9.68","47938","44772","57.05","47.56","12.26","9.45","5.36","2.23","9.68","2.15","6.73","25.13","7.21","27.77","-6088","-0.26","172.74","-0.32","-13552","-0.58","-4799","-0.21","-4799","-0.21","575","0.02","560","0.02","1577","0.07","9287","0.4","9287","0.4","4715","0.2","6","0","-3501","-0.15","-3936","-0.17","-3936","-0.17","-1960","-0.08","2544","0.11","5292","0.23","11109","0.48","11109","0.48","113.5","629","0.03","-293","-0.01","-362","-0.02","1282","0.05","1282","0.05","4287","0.18","1862","0.08","2997","0.13","-6686","-0.29","7121","2830","33140","510","2778","18174","16508","1666","119","111","113.5","7.21","6.37","17.26","16.12","54.26","59.53","47.74","8.38","172.74","2.8","3.13","9.49","1.07","-1191","-734",47938
