符合條件商品
資料日期：2025年 11月 25日
策略,	0101_台積電概念股
"序號","代碼","商品","成交","漲幅%","總量","5均量","金額(億)","5日均金額(億)","型態","5日型態","強度","5日強度","1日%","5日%","10日%","20日%","60日%","股本(億)","外資買賣超(張)","1日外本比","3日外資買賣超(張)","3日外本比","5日外資買賣超(張)","5日外本比","10日外資買賣超(張)","10日外本比","20日外資買賣超(張)","20日外本比","投信買賣超(張)","1日投本比","3日投信買賣超(張)","3日投本比","5日投信買賣超(張)","5日投本比","10日投信買賣超(張)","10日投本比","20日投信買賣超(張)","20日投本比","主力買賣超(張)","1日主本比","3日主力買賣超(張)","3日主本比","5日主力買賣超(張)","5日主本比","10日主力買賣超(張)","10日主本比","20日主力買賣超(張)","20日主本比","散戶買賣超(張)","1日散本比","3日散戶買賣超(張)","3日散本比","5日散戶買賣超(張)","5日散本比","10日散戶買賣超(張)","10日散本比","20日散戶買賣超(張)","20日散本比","自營買賣超(張)","自營商避險買賣超(張)","1日避本比","3日自營商避險買賣超(張)","3日避本比","5日自營商避險買賣超(張)","5日避本比","10日自營商避險買賣超(張)","10日避本比","20日自營商避險買賣超(張)","20日避本比","融資增減(張)","1日融本比","3日融資增減(張)","3日融本比","5日融資增減(張)","5日融本比","10日融資增減(張)","10日融本比","融資買進張數","融資賣出張數","融資餘額張數","融券增減(張)","融券餘額(張)","借券餘額(張)","前1日借券餘額(張)","借券增減(張)","最高價","最低價","開盤價","振幅","5均振幅","週轉率","5均週轉率","當沖率","5均當沖率","融資率","券資比","維持率","1-5日型態","1-5日強度","1-5日金額","1/5日均量倍數","10日借券增減(張)",10日融券增減(張)
1	,"3443.TW","創意","2175","9.85","6955","5038.4","151.27","94.45","26.82","17.41","14.38","5.93","9.85","16.31","13.87","46.96","61.71","13.4","-524","-0.85","189.75","-0.23","-283","-0.46","-538","-0.87","-538","-0.87","362","0.59","438","0.71","778","1.26","1136","1.84","1136","1.84","824","1.34","1211","1.97","1574","2.55","1366","2.22","1366","2.22","-65","-0.11","-45","-0.07","-98","-0.16","-84","-0.14","-84","-0.14","2055","128","0.21","121","0.2","179","0.29","89","0.14","89","0.14","728","1.18","565","0.92","975","1.58","683","1.11","1192","464","5653","115","390","4953","4941","12","2175","2030","2055","7.14","4.91","5.19","3.76","47.53","54.3","16.87","6.9","189.75","9.41","8.45","56.82","1.38","1105",130
2	,"6510.TW","精測","1790","9.82","1949","1081.2","34.89","13.45","12.73","1.2","12.54","2.32","9.82","13.29","19.33","-2.98","56.33","3.28","-70","-0.38","179.63","0.27","295","1.61","143","0.78","143","0.78","287","1.57","454","2.48","88","0.48","388","2.12","388","2.12","308","1.68","548","2.99","453","2.47","540","2.95","540","2.95","-43","-0.23","-55","-0.3","-47","-0.26","-52","-0.28","-52","-0.28","1680","2","0.01","20","0.11","11","0.06","20","0.11","20","0.11","-27","-0.15","-75","-0.41","-21","-0.11","-77","-0.42","129","156","505","6","59","2184","2099","85","1790","1660","1680","7.83","7.48","5.95","3.3","42.23","46.27","6.16","11.68","179.63","11.53","10.22","21.43","1.8","293",19
3	,"6223.TW","旺矽","2060","6.46","2693","1889","55.48","33.18","12.28","4.75","8.96","2.01","6.46","12.88","14.76","2.49","56.65","9.59","401","0.86","181.87","1.46","948","2.04","1150","2.47","1150","2.47","419","0.9","666","1.43","463","0.99","185","0.4","185","0.4","477","1.02","607","1.3","665","1.43","1003","2.15","1003","2.15","-36","-0.08","-41","-0.09","-32","-0.07","13","0.03","13","0.03","2000","1","0","20","0.04","30","0.06","49","0.11","49","0.11","25","0.05","-180","-0.39","-4","-0.01","-10","-0.02","200","174","1436","24","270","2779","2711","68","2090","2000","2000","4.5","5.33","2.84","1.99","43.33","49.69","5.99","18.8","181.87","7.53","6.94","22.3","1.43","255",-248
4	,"6515.TW","穎崴","2515","1.62","1166","1311.2","29.32","32.97","12.13","6.72","7.91","4.15","1.62","16.44","14.06","5.01","101.2","3.6","-4","-0.03","176.98","-2.46","-315","-2.2","-498","-3.48","-498","-3.48","23","0.16","260","1.81","347","2.42","280","1.95","280","1.95","20","0.14","79","0.55","275","1.92","65","0.45","65","0.45","-9","-0.06","-27","-0.19","-52","-0.36","-16","-0.11","-16","-0.11","2530","-2","-0.01","-11","-0.08","7","0.05","16","0.11","16","0.11","-11","-0.08","122","0.85","237","1.65","262","1.83","108","119","853","-2","140","1071","1200","-129","2565","2470","2530","3.85","5.35","3.24","3.64","60.38","57.94","9.47","16.41","176.98","5.41","3.75","-3.65","0.89","172",-26
5	,"6488.TW","環球晶","400","5.82","2408","1632.6","9.63","5.33","-2.37","-12.02","6.83","-3.38","5.82","11.73","3.09","-21.88","6.24","47.81","468","0.04","149.27","0.09","611","0.05","849","0.07","849","0.07","3","0","-180","-0.02","-472","-0.04","-1518","-0.13","-1518","-0.13","284","0.02","276","0.02","-281","-0.02","-1146","-0.1","-1146","-0.1","18","0","115","0.01","475","0.04","1452","0.12","1452","0.12","380.5","-8","-0","-3","-0","22","0","-157","-0.01","-157","-0.01","-111","-0.01","-312","-0.03","-210","-0.02","-302","-0.03","187","293","3850","112","209","19106","19199","-93","404","380.5","380.5","6.18","4.98","0.5","0.34","12.54","6.08","3.22","5.43","149.27","9.65","10.22","4.31","1.47","412",24
6	,"2360.TW","致茂","829","2.35","7568","12101.8","62.74","149.1","12.62","9.94","5.69","3.59","2.35","11.13","9.08","11.73","51","42.53","-731","-0.14","172.54","-0.29","-1649","-0.32","-4638","-0.9","-4638","-0.9","368","0.07","719","0.14","1561","0.3","1913","0.37","1913","0.37","-41","-0.01","-214","-0.04","547","0.11","385","0.08","385","0.08","-10","-0","-26","-0.01","-85","-0.02","-57","-0.01","-57","-0.01","834","19","0","38","0.01","-46","-0.01","-142","-0.03","-142","-0.03","-75","-0.01","203","0.04","-40","-0.01","-265","-0.05","478","552","1812","-50","78","21476","29659","-8183","864","820","834","5.37","4.8","1.78","2.85","47.44","33.77","1.7","4.3","172.54","2.67","2.11","-86.36","0.63","1448",20
7	,"3010.TW","華立","107","2.39","2031","1454","2.17","1.41","7.68","5.88","4.75","2.98","2.39","7","6.47","17.71","7","25.94","756","0.03","176.66","0.07","2182","0.09","6605","0.27","6605","0.27","-2","-0","-2","-0","61","0","-470","-0.02","-470","-0.02","585","0.02","806","0.03","1254","0.05","3742","0.15","3742","0.15","-374","-0.02","-522","-0.02","-814","-0.03","-2429","-0.1","-2429","-0.1","106","7","0","9","0","11","0","16","0","16","0","109","0","-183","-0.01","-146","-0.01","-526","-0.02","198","89","1451","2","10","3546","3746","-200","108","104.5","106","3.35","2.83","0.78","0.56","29.49","33.69","2.24","0.69","176.66","1.8","1.77","0.77","1.4","-1976",0
8	,"3680.TW","家登","349","4.18","4486","1614.4","15.66","2.75","4.05","0.95","4.07","0.78","4.18","5.76","4.8","7.38","10.09","9.6","1781","0.65","172.07","0.52","1807","0.66","1414","0.51","1414","0.51","0","0","0","0","0","0","-7","-0","-7","-0","1647","0.6","1358","0.49","1698","0.62","1692","0.61","1692","0.61","-744","-0.27","-412","-0.15","-564","-0.2","-428","-0.16","-428","-0.16","345","143","0.05","5","0","62","0.02","125","0.05","125","0.05","-170","-0.06","-82","-0.03","-118","-0.04","-43","-0.02","149","318","2842","-23","23","5165","5187","-22","362","342.5","345","5.69","4.1","4.67","1.68","37.98","33.88","11.84","0.81","172.07","3.1","3.28","12.9","2.78","-10",-288
9	,"6691.TW","洋基工程","465","1.97","591","816.8","2.75","3.59","2.66","1.18","3.03","2.38","1.97","7.76","6.04","4.03","-5.97","12.15","255","0.1","170.19","-0.05","639","0.24","-83","-0.03","-83","-0.03","2","0","89","0.03","333","0.13","393","0.15","393","0.15","162","0.06","-62","-0.02","815","0.31","566","0.22","566","0.22","-114","-0.04","64","0.02","-471","-0.18","-309","-0.12","-309","-0.12","462","5","0","-39","-0.01","38","0.01","32","0.01","32","0.01","-68","-0.03","41","0.02","-34","-0.01","-45","-0.02","23","91","1067","1","4","4392","4448","-56","468","459","462","1.96","3.25","0.49","0.67","22.67","27.9","3.51","0.37","170.19","1.49","0.65","-0.84","0.72","-1246",4
