證券代號,證券名稱,本週股額,上週股額,增減數額,增減比率,發行比率(剩餘比率),2025-11-21 00:00:00
,,(A),(B),(A-B),(A-B)/B,(%),
11011.0,台泥一永,80000,80000,0,0,100,
12561.0,鮮活果汁一KY,2000,2000,0,0,100,
13164.0,上曜四,1340,1340,0,0,33.5,
13166.0,上曜六,4000,4000,0,0,100,
13382.0,廣華二KY,6000,6000,0,0,100,
140201.0,遠東新E1永,10000,10000,0,0,100,
140202.0,遠東新E2永,14992,14992,0,0,99.94,
14363.0,華友聯三,6000,6000,0,0,100,
14364.0,華友聯四,20000,20000,0,0,100,
14381.0,三地開發一,9700,9700,0,0,100,
14664.0,聚隆四,4000,4000,0,0,100,
14722.0,三洋實業二,3000,3000,0,0,100,
14723.0,三洋實業三,4000,4000,0,0,100,
14743.0,弘裕三,3000,3000,0,0,100,
15142.0,亞力二,12000,12000,0,0,100,
15261.0,日馳一,5000,5000,0,0,100,
15364.0,和大四,15000,15000,0,0,100,
15601.0,中砂一,9994,9994,0,0,99.94,
15864.0,和勤四,2000,2000,0,0,100,
15865.0,和勤五,2902,2902,0,0,96.73,
15894.0,永冠四KY,10316,10316,0,0,68.77,
15952.0,川寶二,910,910,0,0,30.33,
15984.0,岱宇四,2000,2000,0,0,100,
16095.0,大亞五,20000,20000,0,0,100,
17813.0,合世三,2000,2000,0,0,100,
17863.0,科妍三,4000,4000,0,0,100,
18156.0,富喬六,85,85,0,0,2.12,
19094.0,榮成四,160,160,0,0,2.28,
20343.0,允強三,1572,1572,0,0,15.72,
20344.0,允強四,20000,20000,0,0,100,
20632.0,世鎧二,145,145,0,0,2.41,
20662.0,世德二,2378,2378,0,0,59.45,
21043.0,國際中橡三,35000,35000,0,0,100,
22013.0,裕隆三,69999,69999,0,0,99.99,
22283.0,劍麟三,2787,2787,0,0,92.9,
22362.0,百達二KY,5,5,0,0,0.25,
22471.0,汎德永業一,10000,10000,0,0,100,
22472.0,汎德永業二,10000,10000,0,0,100,
23372.0,旺宏二,15155,15918,-763,-4.79,50.51,
23383.0,光罩三,979,979,0,0,4.89,
23511.0,順德一,12000,12000,0,0,100,
23682.0,金像電二,3489,5800,-2311,-39.84,8.72,
24023.0,毅嘉三,10000,0,10000,0,100,
24271.0,三商電一,4684,4684,0,0,93.68,
24361.0,偉詮電一,10999,10999,0,0,99.99,
24394.0,美律四,25000,25000,0,0,100,
24395.0,美律五,5000,5000,0,0,100,
24423.0,新美齊三,9001,9001,0,0,90.01,
24424.0,新美齊四,5928,5928,0,0,98.8,
24616.0,光群雷六,2561,2561,0,0,42.68,
24624.0,良得電四,2443,2443,0,0,61.07,
24642.0,盟立二,9803,9803,0,0,98.03,
24762.0,鉅祥二,3895,3912,-17,-0.43,38.95,
24866.0,一詮六,6000,6000,0,0,100,
25283.0,皇普三,6000,6000,0,0,100,
25284.0,皇普四,5000,5000,0,0,100,
25303.0,華建三,5000,5000,0,0,100,
25304.0,華建四,7607,7607,0,0,95.08,
25483.0,華固三,40000,40000,0,0,100,
25484.0,華固四,20000,20000,0,0,100,
26107.0,華航七,10349,10349,0,0,22.99,
26417.0,正德七,5767,5767,0,0,97.74,
26418.0,正德八,7251,7251,0,0,92.96,
27271.0,王品一,6999,6999,0,0,99.98,
27323.0,六角三,6000,6000,0,0,100,
27431.0,山富一,3000,3000,0,0,100,
27531.0,八方雲集一,8000,8000,0,0,100,
27532.0,八方雲集二,2000,2000,0,0,100,
27551.0,揚秦一,1212,1229,-17,-1.38,60.6,
27561.0,聯發國際一,2950,2950,0,0,98.33,
29051.0,三商一,2547,2547,0,0,11.07,
29061.0,高林一,4600,4600,0,0,46,
30061.0,晶豪科一,9999,9999,0,0,99.99,
30134.0,晟銘電四,5000,5000,0,0,100,
30165.0,嘉晶五,5000,5000,0,0,100,
30238.0,信邦八,8167,8167,0,0,81.67,
30321.0,偉訓一,10000,10000,0,0,100,
30336.0,威健六,4359,4359,0,0,21.79,
30337.0,威健七,25000,25000,0,0,100,
30371.0,欣興一,40000,40000,0,0,100,
30401.0,遠見一,3668,3668,0,0,73.36,
30454.0,台灣大四,70000,70000,0,0,100,
30455.0,台灣大五,30000,30000,0,0,100,
30882.0,艾訊二,3686,3686,0,0,46.07,
30922.0,鴻碩二,463,463,0,0,18.52,
30954.0,及成四,1500,1500,0,0,100,
31222.0,笙泉二,1991,1991,0,0,99.55,
31282.0,昇銳二,1083,1083,0,0,36.1,
31311.0,弘塑一,10000,10000,0,0,100,
31312.0,弘塑二,10000,10000,0,0,100,
31382.0,耀登二,7000,7000,0,0,100,
31413.0,晶宏三,8000,8000,0,0,100,
31672.0,大量二,5000,5000,0,0,100,
31882.0,鑫龍騰二,6000,6000,0,0,100,
32071.0,耀勝一,4871,4871,0,0,97.42,
32571.0,虹冠電一,5000,5000,0,0,100,
32723.0,東碩三,2997,2997,0,0,99.9,
32843.0,太普高三,2000,2000,0,0,100,
33035.0,岱稜五,5000,5000,0,0,100,
33055.0,昇貿五,1093,1094,-1,-0.09,13.66,
33121.0,弘憶股一,9999,9999,0,0,99.99,
33133.0,斐成三,3943,3943,0,0,98.57,
33225.0,建舜電五,1500,1500,0,0,100,
33233.0,加百裕三,775,775,0,0,19.37,
33245.0,雙鴻五,15000,15000,0,0,100,
33465.0,麗清五,202,202,0,0,6.73,
33466.0,麗清六,3000,3000,0,0,100,
33571.0,臺慶科一,9829,9985,-156,-1.56,89.35,
33621.0,先進光一,11999,11999,0,0,99.99,
33763.0,新日興三,7969,7969,0,0,99.61,
33881.0,崇越電一,6999,6999,0,0,99.98,
33902.0,旭軟二,2000,2000,0,0,100,
34163.0,融程電三,4203,4203,0,0,84.06,
34793.0,安勤三,6500,6500,0,0,100,
34834.0,力致四,2000,2000,0,0,100,
34843.0,崧騰三,2545,2545,0,0,63.62,
34912.0,昇達科二,1119,2791,-1672,-59.9,11.19,
35161.0,亞帝歐一,3500,3500,0,0,100,
35181.0,柏騰一,3000,3000,0,0,100,
35221.0,御嵿一,1231,1231,0,0,82.06,
35265.0,凡甲五,2537,2669,-132,-4.94,31.71,
35266.0,凡甲六,7875,7875,0,0,78.75,
35267.0,凡甲七,15000,15000,0,0,100,
35482.0,兆利二,7999,7999,0,0,99.98,
35483.0,兆利三,15000,15000,0,0,100,
35513.0,世禾三,5000,5000,0,0,100,
35642.0,其陽二,5000,5000,0,0,100,
35831.0,辛耘一,2000,2000,0,0,100,
35832.0,辛耘二,9989,9989,0,0,99.89,
35871.0,閎康一,4507,4507,0,0,75.11,
35914.0,艾笛森四,3000,3000,0,0,100,
36053.0,宏致三,1357,1358,-1,-0.07,13.57,
36173.0,碩天三,15000,15000,0,0,100,
36534.0,健策四,4378,7587,-3209,-42.29,14.59,
36535.0,健策五,4154,5846,-1692,-28.94,20.77,
36804.0,家登四,3561,3561,0,0,35.61,
36841.0,榮昌一,3000,3000,0,0,100,
36872.0,歐買尬二,4000,4000,0,0,100,
36873.0,歐買尬三,2000,2000,0,0,100,
36894.0,湧德四,194,204,-10,-4.9,3.88,
36913.0,碩禾三,20000,20000,0,0,100,
37012.0,大眾控二,291,291,0,0,4.85,
37022.0,大聯大二,35000,35000,0,0,100,
37023.0,大聯大三,20000,20000,0,0,100,
37075.0,漢磊五,8940,10000,-1060,-10.6,89.4,
37083.0,上緯投控三,3037,3037,0,0,30.37,
37084.0,上緯投控四,637,637,0,0,6.37,
37131.0,新晶投控一,386,386,0,0,7.72,
41135.0,聯上五,4000,4000,0,0,100,
41236.0,晟德六,6362,6362,0,0,90.88,
41237.0,晟德七,19443,19443,0,0,77.77,
41295.0,聯合五,6999,6999,0,0,99.98,
41372.0,麗豐二KY,11000,11000,0,0,100,
41645.0,承業醫五,9000,9000,0,0,100,
41684.0,醣聯四,5000,5000,0,0,100,
41903.0,佐登三KY,6417,6417,0,0,91.67,
44163.0,三圓三,9559,9559,0,0,95.59,
44383.0,廣越三,8000,8000,0,0,100,
44391.0,冠星一KY,4999,5000,-1,-0.02,99.98,
44421.0,竣邦一KY,1198,1346,-148,-10.99,79.86,
45102.0,高鋒二,8532,8532,0,0,94.8,
45402.0,全球傳動二,170,229,-59,-25.76,5.66,
45421.0,科嶠一,2967,2967,0,0,98.9,
45491.0,桓達一,5000,5000,0,0,100,
45554.0,氣立四,5000,5000,0,0,100,
45581.0,寶緯一,3000,3000,0,0,100,
45641.0,元翎一,5500,5500,0,0,100,
45663.0,時碩工業三,416,416,0,0,5.2,
45691.0,六方科一KY,5000,5000,0,0,100,
45721.0,駐龍一,5000,5000,0,0,100,
45811.0,光隆精密一KY,5000,5000,0,0,100,
47223.0,國精化三,5000,5000,0,0,100,
47393.0,康普三,6945,6945,0,0,99.21,
47442.0,皇將二,107,192,-85,-44.27,7.13,
47471.0,強生一,615,615,0,0,15.37,
49066.0,正文六,6452,6452,0,0,43.01,
49165.0,事欣科五,357,357,0,0,7.14,
49793.0,華星光三,6000,6000,0,0,100,
49794.0,華星光四,2000,2000,0,0,100,
