代碼,名稱  ,產業,CB收盤價,成交量,股價,轉換價格,轉換價值,溢(折)價%,"停止轉
換起始日","停止轉
換終迄日",發行日,最近賣回日,賣回價格,到期日,到期價格,YTP,YTM,2025Q3公告基本每股盈餘(元),股價波動率120天(%),股價波動率240天(%),自營商買張數,自營商賣張數,外資買張數,外資賣張數,TCRI,發行總量(張),流通在外餘額(張),剩餘未轉換比率%,債券擔保情形,經營項目
11011,台泥一永,水泥工業,95.8,1.0,20.7,35.2,58.80681818181818,62.90628019323672,-,-,2024-12-10,2027-12-10,100.0,2029-12-10,100.0,0.021421804126736638,0.010826852288682184,-1.36,24.77,24.98,-,-,-,-,4,80000.0,80000.0,100.0,無,有關水泥及水泥製品之生產及運銷、有關水泥原料及水泥製品原料之開採製造運銷及附屬礦石之開採經銷、經營有關水泥工業及其附屬事業
12561,鮮活果汁一KY,食品工業,99.9,30.0,136.0,189.1,71.91961924907456,38.905073529411794,-,-,2025-10-08,2027-10-08,100.5006,2028-10-08,100.0,0.003208164304655504,0.0003479670146336349,4.98,42.08,43.21,-,-,-,-,5,2000.0,2000.0,100.0,無,果汁、果粒、果粉類等產品之生產與銷售
13164,上曜四,建材營建,103.0,0.0,14.2,14.7,96.59863945578232,6.626760563380274,-,-,2021-01-29,2026-01-29,100.0,2026-01-29,100.0,-0.1586726561367917,-0.1586726561367917,-0.13,34.61,46.61,-,-,-,-,8,4000.0,1340.0,33.5,有，台北富邦商業銀行股份有限公司,住宅及大樓開發租售業務、不動產買賣業務、不動產租賃業務
13166,上曜六,建材營建,111.0,0.0,14.2,17.4,81.60919540229885,36.01408450704224,-,-,2024-12-27,2026-12-27,100.5,2027-12-27,100.0,-0.08653390232337603,-0.047344464883731896,-0.13,34.61,46.61,-,-,-,-,8,4000.0,4000.0,100.0,有，板信商業銀行股份有限公司,住宅及大樓開發租售業務、不動產買賣業務、不動產租賃業務
13382,廣華二KY,汽車工業,100.4,1.0,20.65,37.6,54.920212765957444,82.81065375302666,-,-,2023-12-01,2026-12-01,106.1208,2028-12-01,100.0,0.05575798681947817,-0.0013171949881633244,0.14,20.82,23.86,-,-,-,-,6,6000.0,6000.0,100.0,無,汽車內飾件之曲面印刷、表面塗裝及射出成型等製造及銷售、汽車內飾件之模具製造及銷售、其他
140201,遠東新E1永,紡織纖維,101.7,0.0,37.65,43.1,87.35498839907193,16.421513944223108,-,-,2024-08-08,2027-08-08,100.0,2029-08-08,100.0,-0.009793384060064015,-0.004506113936056042,0.42,17.36,24.12,-,-,-,-,3,10000.0,10000.0,100.0,無,電信47.55%、生產事業45.99%、不動產開發3.82%、投資及其他2.64%(石化纖維原料、半成品及製成品、纖維紗(布)、混紡紗(布)、假撚絲、棉布、被單、紡織成衣、針織成衣、)
140202,遠東新E2永,紡織纖維,99.3,2.0,24.15,31.7,76.18296529968454,30.344099378881985,-,-,2024-08-08,2027-08-08,100.0,2029-08-08,100.0,0.004130033832331929,0.0019003036023211165,0.42,17.36,24.12,2,0,0,0,3,15000.0,14992.0,99.94,無,電信47.55%、生產事業45.99%、不動產開發3.82%、投資及其他2.64%(石化纖維原料、半成品及製成品、纖維紗(布)、混紡紗(布)、假撚絲、棉布、被單、紡織成衣、針織成衣、)
14363,華友聯三,建材營建,98.7,0.0,61.1,128.7,47.47474747474748,107.89999999999998,-,-,2024-08-27,2026-08-27,103.0225,2027-08-27,104.5678,0.05770732519138683,0.03379994444917886,3.25,29.28,34.33,-,-,-,-,8,6000.0,6000.0,100.0,無,住宅及大樓開發租售業、休閒活動場館業、餐館業
14364,華友聯四,建材營建,94.9,20.0,61.1,99.0,61.71717171717172,53.7659574468085,-,-,2025-03-18,2027-03-18,103.0225,2028-03-18,104.5678,0.06508413461538458,0.0439525368248772,3.25,29.28,34.33,-,-,-,-,8,20000.0,20000.0,100.0,無,住宅及大樓開發租售業、休閒活動場館業、餐館業
14381,三地開發一,建材營建,124.0,0.0,33.6,55.88,60.128847530422334,106.22380952380954,-,-,2024-12-19,2027-12-19,101.5075,2029-12-19,102.5251,-0.08757640488991296,-0.04251002505586047,-0.27,28.73,39.02,-,-,-,-,8,9700.0,9700.0,100.0,有，台中商業銀行股份有限公司,委託營造廠商興建商業大樓、工業大樓及住宅出租出售業務、紡織工業之產銷及其附屬事業暨投資金融與其他經濟事業
14664,聚隆四,紡織纖維,106.0,211.0,14.45,18.8,76.86170212765957,37.91003460207614,-,-,2025-06-20,2028-06-20,100.0,2028-06-20,100.0,-0.021979124849458045,-0.021979124849458045,-0.26,41.3,50.39,211,211,0,0,7,4000.0,4000.0,100.0,有，台中商業銀行股份有限公司,尼龍絲50.76%、Lyocell長纖絲21.69%、聚酯絲14.77%、複合絲4.41%、P.P絲3.87%(尼龍原絲、假撚絲、仿棉絲製造、加工及買賣、聚酯原絲、假撚絲、空氣打節絲製造、加工及買賣、超細纖維、超細纖維布、彈性纖維、彈性纖維布製造、加工及買賣)
14722,三洋實業二,建材營建,106.0,35.0,91.6,98.6,92.90060851926978,14.100436681222694,-,-,2025-05-29,2027-05-29,101.0025,2028-05-29,100.0,-0.031174588118676527,-0.022505857688987538,1.62,25.01,33.87,35,20,0,0,6,3000.0,3000.0,100.0,有，台中商業銀行股份有限公司,營建工程、營建工程
14723,三洋實業三,建材營建,96.05,91.0,91.6,101.5,90.2463054187192,6.43094978165939,-,-,2025-06-17,2027-06-17,102.01,2028-06-17,100.0,0.039664834518653214,0.016019649139961227,1.62,25.01,33.87,-,-,-,-,6,4000.0,4000.0,100.0,無,營建工程、營建工程
14743,弘裕三,紡織纖維,93.3,0.0,11.75,14.0,83.92857142857143,11.165957446808505,-,-,2025-03-31,2028-03-31,101.5075,2028-03-31,101.5075,0.03737910928607879,0.03737910928607879,0.15,20.53,29.02,-,-,-,-,6,3000.0,3000.0,100.0,無,各種棉毛絲纖維織品之製造代織，買賣，印染，整理及加工內外銷、各種塑膠製品之加工製造買賣、有關行紀業務進出口貿易事業
15142,亞力二,電機機械,114.5,65.0,98.6,109.2,90.29304029304028,26.809330628803263,-,-,2025-01-13,2028-01-13,100.7519,2030-01-13,100.0,-0.05611500763213659,-0.030570573692844428,0.89,32.96,43.17,65,55,0,0,6,12000.0,12000.0,100.0,無,配電盤、電機器材、電子產品、變壓器
15261,日馳一,電機機械,96.0,2.0,16.8,37.29,45.05229283990346,113.08571428571427,-,-,2023-09-19,2026-09-19,100.0,2026-09-19,100.0,0.050694444444444535,0.050694444444444535,0.08,31.32,38.51,0,2,0,0,7,5000.0,5000.0,100.0,無,各種腳踏車之零件機械五金之加工製造買賣業務
